"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0033651","부산 강서구","KH남해서비스㈜ 서부산주유소","부산광역시 강서구 남해2지선고속도로 19","20220813","SK에너지","셀프","0","1733","1803","0"
"A0033651","부산 강서구","KH남해서비스㈜ 서부산주유소","부산광역시 강서구 남해2지선고속도로 19","20220814","SK에너지","셀프","0","1693","1793","0"
"A0033651","부산 강서구","KH남해서비스㈜ 서부산주유소","부산광역시 강서구 남해2지선고속도로 19","20220815","SK에너지","셀프","0","1693","1793","0"
"A0033651","부산 강서구","KH남해서비스㈜ 서부산주유소","부산광역시 강서구 남해2지선고속도로 19","20220816","SK에너지","셀프","0","1683","1793","0"
"A0033651","부산 강서구","KH남해서비스㈜ 서부산주유소","부산광역시 강서구 남해2지선고속도로 19","20220817","SK에너지","셀프","0","1683","1783","0"
"A0033540","부산 강서구","OS신항주유소","부산 강서구 가락대로 845","20220810","GS칼텍스","셀프","0","1749","1849","0"
"A0033540","부산 강서구","OS신항주유소","부산 강서구 가락대로 845","20220811","GS칼텍스","셀프","0","1749","1849","0"
"A0033540","부산 강서구","OS신항주유소","부산 강서구 가락대로 845","20220812","GS칼텍스","셀프","0","1749","1849","0"
"A0033540","부산 강서구","OS신항주유소","부산 강서구 가락대로 845","20220813","GS칼텍스","셀프","0","1749","1849","0"
"A0033540","부산 강서구","OS신항주유소","부산 강서구 가락대로 845","20220814","GS칼텍스","셀프","0","1749","1849","0"
"A0033540","부산 강서구","OS신항주유소","부산 강서구 가락대로 845","20220815","GS칼텍스","셀프","0","1749","1849","0"
"A0033540","부산 강서구","OS신항주유소","부산 강서구 가락대로 845","20220816","GS칼텍스","셀프","0","1749","1849","0"
"A0033540","부산 강서구","OS신항주유소","부산 강서구 가락대로 845","20220817","GS칼텍스","셀프","0","1749","1829","0"
"A0033441","부산 강서구","SK에너지(주) 경마장주유소","부산 강서구 가락대로 1027","20220810","SK에너지","셀프","2189","1749","1849","0"
"A0033441","부산 강서구","SK에너지(주) 경마장주유소","부산 강서구 가락대로 1027","20220811","SK에너지","셀프","2189","1749","1849","0"
"A0033441","부산 강서구","SK에너지(주) 경마장주유소","부산 강서구 가락대로 1027","20220812","SK에너지","셀프","2189","1729","1829","0"
"A0033441","부산 강서구","SK에너지(주) 경마장주유소","부산 강서구 가락대로 1027","20220813","SK에너지","셀프","2069","1729","1829","0"
"A0033441","부산 강서구","SK에너지(주) 경마장주유소","부산 강서구 가락대로 1027","20220814","SK에너지","셀프","2069","1729","1829","0"
"A0033441","부산 강서구","SK에너지(주) 경마장주유소","부산 강서구 가락대로 1027","20220815","SK에너지","셀프","2069","1729","1829","0"
"A0033441","부산 강서구","SK에너지(주) 경마장주유소","부산 강서구 가락대로 1027","20220816","SK에너지","셀프","2069","1729","1829","0"
"A0033441","부산 강서구","SK에너지(주) 경마장주유소","부산 강서구 가락대로 1027","20220817","SK에너지","셀프","2069","1729","1829","0"
"A0031169","부산 강서구","공항대로주유소","부산 강서구 공항로 1217 (대저1동)","20220810","알뜰주유소","셀프","0","1750","1833","0"
