동현주유소,부산 영도구 해양로 212,"X :129.072425, Y :35.0872388"
땡큐망미주유소,부산 수영구  연수로 254 (망미동),"X :129.098974, Y :35.1730045"
럭키주유소,부산 부산진구 새싹로 230 (초읍동),"X :129.048593, Y :35.1767054"
마린타이거주유소,부산 수영구 광남로 241 (민락동),"X :129.125357, Y :35.1594690"
만복드림주유소,부산 북구 만덕대로 170,"X :129.023294, Y :35.2130057"
만선주유소,부산 강서구 가락대로210번길 102,"X :128.843935, Y :35.1054456"
매일주유소,부산 남구 수영로 22 (문현동),"X :129.070109, Y :35.1365808"
맥도주유소,부산 강서구 공항로 381 (대저2동),"X :128.949212, Y :35.1423339"
명례주유소,부산 기장군 장안읍 기장대로 2217,"X :129.255411, Y :35.3847998"
명작주유소,부산 강서구 낙동남로 127 (송정동),"X :128.836979, Y :35.1019103"
명장주유소,부산 동래구 반송로 303 (명장동),"X :129.102720, Y :35.2068046"
명지농협주유소,부산 강서구 르노삼성대로 572 (명지동),"X :128.927810, Y :35.0986623"
명지주유소,부산 강서구 낙동남로 1042,"X :128.926606, Y :35.1127399"
명품주유소,부산 강서구 대저로 283 (대저1동),"X :128.983044, Y :35.2123016"
명품주유소 당감점,부산광역시 부산진구  백양대로 78 (당감동),"X :129.040906, Y :35.1620562"
무지개주유소,부산 북구 금곡대로 692 (금곡동),"X :129.018270, Y :35.2682131"
문현주유소,부산 남구 우암로 374 (문현동),"X :129.067904, Y :35.1352847"
반도주유소,부산 남구 신선로 442 (용당동),"X :129.100182, Y :35.1243215"
반송스마일주유소,부산 해운대구 반송로 936 (반송동),"X :129.155557, Y :35.2331349"
반송파크주유소,부산 해운대구 석대천로 198,"X :129.144496, Y :35.2209768"
백양주유소,부산 부산진구  백양대로 234 (개금동),"X :129.024806, Y :35.1575231"
백운1주유소,부산 기장군 정관면 정관로 779,"X :129.197735, Y :35.3236053"
보강주유소,부산 동래구  충렬대로 400 (안락동),"X :129.101867, Y :35.1967176"
보훈주유소,부산 사상구 백양대로 392 (주례동),"X :129.008959, Y :35.1529926"
부경셀프주유소,부산 기장군 기장읍 반송로 1407,"X :129.195978, Y :35.2544858"
부산벙커앤오일 청구주유소,부산 동구 충장대로 281 (좌천동),"X :129.051256, Y :35.1262406"
부산축산업협동조합 농협주유소,부산광역시 강서구  낙동남로 448 (녹산동),"X :128.868637, Y :35.1119527"
부영석유 도매주유소,부산 사하구 을숙도대로 564,"X :128.967365, Y :35.0851042 "
부영석유(주)도매주유소,부산 사상구 가야대로 10 (감전동),"X :128.973850, Y :35.1517490 "
북부산새마을금고주유소,부산 북구 금곡대로 37,"X :129.003858, Y :35.2134189"
북항대교주유소,부산 남구  신선로 316 (용당동),"X :129.095944, Y :35.1143289 "
분포셀프주유소,부산 남구 용호로 116 (용호동),"X :129.112022, Y :35.1219711 "
비케이원(주) 미래드림주유소,부산 강서구 가락대로 649,"X :128.863837, Y :35.1347548"
사랑드림주유소,부산 남구 황령대로 345 (대연동),"X :129.096035, Y :35.1470032 "
사하주유소,부산 사하구 을숙도대로 583,"X :128.969360, Y :35.0855584"
산업주유소,부산 사상구 낙동대로 879 (감전동),"X :128.970231, Y :35.1390833"
삼2주유소,부산 기장군 일광면 기장대로 1291,"X :129.240292, Y :35.3082897"
삼거리주유소,부산 기장군 기장읍 반송로 1653,"X :129.218933, Y :35.2514630"
삼보주유소/충전소,부산 북구 만덕대로 331 (만덕동),"X :129.040996, Y :35.2135017 "
삼성셀프주유소,부산 기장군 일광면 기장대로 677,"X :129.223024, Y :35.2552717 "
삼주유소,부산 사상구 백양대로 349 (주례동),"X :129.013617, Y :35.1527891"
삼진셀프주유소,부산 북구 의성로53번길 5,"X :129.009281, Y :35.2160686 "
삼화주유소,부산 남구 우암로 92 (감만동),"X :129.080732, Y :35.1186191"
새동창주유소,부산 사상구 낙동대로 920 (감전동),"X :128.970327, Y :35.1426054 "
새마당주유소,부산 사하구 장평로 152 (장림동),"X :128.972959, Y :35.0797684 "
새석대주유소,부산 금정구 반송로 463 (금사동),"X :129.114571, Y :35.2158529"
서부산IC주유소,부산 사상구 학감대로 170,"X :128.988923, Y :35.1462038"
서영주유소,부산 부산진구 범일로 184 (범천동),"X :129.059650, Y :35.1464014"
석2주유소,부산 금정구 식물원로 21 (장전동),"X :129.085753, Y :35.2242737"
선경주유소,부산 사하구 을숙도대로 728,"X :128.985153, Y :35.0848865 "
